timestamp,elapsed_sec,rpm,tps_pct,battery_volts,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker
1789318550.7697,-0.323,3172.2,18.82,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.7805,-0.312,3202.5,19.22,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.7914,-0.301,3233.5,19.61,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8026,-0.290,3265.0,20.00,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8134,-0.279,3295.2,20.00,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8243,-0.268,3325.8,20.39,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8360,-0.256,3358.8,20.78,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8469,-0.245,3389.5,21.18,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8582,-0.234,3421.0,21.57,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8691,-0.223,3451.5,21.57,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8803,-0.212,3482.8,21.96,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.8916,-0.201,3514.2,22.35,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9028,-0.189,3545.5,22.75,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9138,-0.178,3576.0,23.14,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9249,-0.167,3606.8,23.14,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9358,-0.156,3637.0,23.53,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9468,-0.145,3667.5,23.92,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9578,-0.134,3698.0,24.31,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9688,-0.123,3728.0,24.31,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9797,-0.113,3758.2,24.71,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318550.9910,-0.101,3789.2,25.10,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0018,-0.090,3818.8,25.49,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0136,-0.079,3851.0,25.88,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0256,-0.067,3883.5,26.27,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0368,-0.056,3913.8,26.27,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0478,-0.044,3944.0,26.67,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0591,-0.033,3974.2,27.06,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0699,-0.022,4003.5,27.45,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0809,-0.011,4033.2,27.45,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318551.0923,0.000,4063.5,27.84,14.10,79.0,24.0,1,1,0,0,0,0,33,>>> TRIGGER_A_FAULT_DTC
1789318551.1044,0.012,4096.0,28.24,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1157,0.023,4126.0,28.63,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1268,0.035,4155.5,29.02,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1376,0.045,4184.2,29.41,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1487,0.056,4213.8,29.41,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1595,0.067,4242.2,29.80,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1704,0.078,4270.8,30.20,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1815,0.089,4300.0,30.59,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.1925,0.100,4328.8,30.59,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2034,0.111,4357.2,30.98,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2145,0.122,4386.0,31.37,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2255,0.133,4414.8,31.76,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2370,0.145,4444.5,32.16,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2481,0.156,4473.0,32.16,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2592,0.167,4502.0,32.55,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2702,0.178,4530.2,32.94,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2811,0.189,4558.0,33.33,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.2924,0.200,4587.0,33.73,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.3035,0.211,4615.5,33.73,14.10,79.0,24.0,1,1,0,0,0,0,33,
1789318551.3147,0.222,4644.2,34.12,14.10,79.0,24.0,1,1,0,0,0,0,33,
