timestamp,elapsed_sec,rpm,tps_pct,battery_volts,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker
1789318577.3777,-0.319,3171.8,18.82,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.3888,-0.307,3203.0,19.22,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.3996,-0.297,3233.5,19.61,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4103,-0.286,3263.5,20.00,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4211,-0.275,3294.0,20.00,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4319,-0.264,3324.2,20.39,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4428,-0.253,3354.8,20.78,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4536,-0.243,3385.2,21.18,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4649,-0.231,3416.8,21.18,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4760,-0.220,3448.0,21.57,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4872,-0.209,3479.0,21.96,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.4981,-0.198,3509.5,22.35,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5088,-0.187,3539.5,22.75,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5197,-0.177,3569.8,22.75,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5309,-0.165,3600.8,23.14,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5422,-0.154,3632.0,23.53,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5533,-0.143,3662.8,23.92,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5645,-0.132,3693.5,24.31,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5752,-0.121,3723.2,24.31,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5861,-0.110,3753.2,24.71,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.5978,-0.098,3785.2,25.10,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6089,-0.087,3815.5,25.49,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6196,-0.077,3845.0,25.88,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6306,-0.066,3875.0,25.88,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6414,-0.055,3904.2,26.27,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6522,-0.044,3933.5,26.67,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6632,-0.033,3963.2,27.06,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6743,-0.022,3993.2,27.06,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6851,-0.011,4022.2,27.45,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.6962,0.000,4052.2,27.84,10.45,79.0,24.0,1,0,0,0,0,0,NONE,>>> TRIGGER_C_VOLTAGE_DIP
1789318577.7075,0.011,4082.5,28.24,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7183,0.022,4111.0,28.63,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7294,0.033,4140.8,28.63,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7409,0.045,4171.2,29.02,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7518,0.056,4200.2,29.41,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7626,0.066,4228.8,29.80,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7737,0.077,4258.0,30.20,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7847,0.088,4286.8,30.20,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.7954,0.099,4315.0,30.59,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8066,0.110,4344.2,30.98,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8176,0.121,4373.0,31.37,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8287,0.132,4401.8,31.37,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8395,0.143,4429.8,31.76,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8503,0.154,4458.0,32.16,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8610,0.165,4485.5,32.55,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8723,0.176,4514.5,32.94,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8835,0.187,4543.2,32.94,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.8945,0.198,4571.5,33.33,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.9059,0.210,4600.8,33.73,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
1789318577.9171,0.221,4629.2,34.12,10.45,79.0,24.0,1,0,0,0,0,0,NONE,
