timestamp,elapsed_sec,rpm,tps_pct,battery_volts,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker
1789320300.1336,-2.070,3788.8,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.2049,-1.999,3795.5,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.2767,-1.927,3802.5,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.3476,-1.856,3809.5,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.4184,-1.786,3815.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.4894,-1.715,3820.2,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.5609,-1.643,3823.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.6322,-1.572,3824.8,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.7033,-1.501,3824.2,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.7745,-1.429,3821.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.8464,-1.357,3817.0,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.9178,-1.286,3811.2,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320300.9884,-1.215,3804.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.0596,-1.144,3797.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.1309,-1.073,3790.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.2021,-1.002,3784.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.2734,-0.930,3779.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.3446,-0.859,3776.2,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.4182,-0.786,3775.0,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.4898,-0.714,3775.8,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.5610,-0.643,3778.2,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.6320,-0.572,3782.8,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.7031,-0.501,3788.5,16.08,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.7746,-0.429,3795.2,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.8457,-0.358,3802.2,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.9184,-0.286,3809.5,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320301.9892,-0.215,3815.5,16.47,14.10,78.0,24.0,1,0,0,0,0,0,NONE,
1789320302.0608,-0.143,3820.2,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320302.1321,-0.072,3823.5,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320302.2039,0.000,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,>>> TRIGGER_D_STEADY_TPS_RPM_DROP
1789320302.2760,0.072,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.3492,0.145,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.4209,0.217,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.4929,0.289,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.5655,0.362,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.6370,0.433,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.7086,0.505,3250.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.7817,0.578,3783.8,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.8535,0.650,3779.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,33,
1789320302.9253,0.721,3776.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320302.9965,0.793,3775.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.0674,0.864,3775.8,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.1389,0.935,3778.8,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.2106,1.007,3783.2,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.2818,1.078,3789.2,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.3527,1.149,3796.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.4241,1.220,3803.0,16.47,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.4967,1.293,3810.0,16.08,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.5674,1.364,3816.0,16.08,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
1789320303.6387,1.435,3820.8,16.08,14.10,79.0,24.0,1,0,0,0,0,0,NONE,
