timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker,raw_hex
1789323305.6918,-2.144,3783.5,65.2,16.47,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013b1e2a764037140072
1789323305.7645,-2.071,3789.8,86.0,16.47,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013b372a76403714008b
1789323305.8372,-1.998,3796.8,96.2,16.47,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013b532a7640371400a7
1789323305.9095,-1.926,3804.0,100.4,16.47,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013b702a7640371400c4
1789323305.9851,-1.851,3811.0,92.6,16.08,-5.19,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013b8c297640371400df
1789323306.0592,-1.777,3817.0,81.0,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013ba4297640371400f7
1789323306.1316,-1.704,3821.5,62.1,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013bb629764037140009
1789323306.2047,-1.631,3824.2,37.6,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013bc129764037140014
1789323306.2780,-1.558,3824.8,6.8,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013bc329764037140016
1789323306.3509,-1.485,3823.2,-20.6,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013bbd29764037140010
1789323306.4241,-1.412,3819.8,-47.8,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013baf29764037140002
1789323306.4986,-1.337,3814.5,-70.5,16.08,0.00,14.10,0.000,78.0,24.0,1,0,0,0,0,0,NONE,,8af11161013b9a297640371400ed
