timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker,raw_hex
1789380060.9633,-10.946,4291.0,0.0,13.33,25.96,25.00,2.40,24.3,51.0,3.95,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM: TPS:486bd1411122f8 ADV:486bd1410eb285 MIL:486bd1410100000000c6
1789380061.5927,-10.317,4751.0,731.0,32.94,31.16,27.50,2.40,24.3,62.4,3.95,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c4a3c57 TPS:486bd14111542a ADV:486bd1410eb78a MIL:486bd1410100000000c6
1789380061.8614,-10.048,4445.0,-1138.8,3.53,-109.46,60.00,2.40,24.3,45.3,3.95,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c45748a TPS:486bd1411109df ADV:486bd1410ef8cb MIL:486bd1410100000000c6
1789380062.3148,-9.594,4445.0,0.0,9.02,12.11,58.00,2.40,24.3,48.5,3.95,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM: TPS:486bd1411117ed ADV:486bd1410ef4c7 MIL:
1789380062.8892,-9.020,4700.0,444.0,11.76,4.78,28.50,2.40,24.3,50.1,3.95,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c49708a TPS:486bd141111ef4 ADV:486bd1410eb98c MIL:
1789380063.1701,-8.739,4881.0,644.3,20.39,30.71,31.50,2.40,24.3,55.1,3.95,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c4c4461 TPS:486bd14111340a ADV:486bd1410ebf92 MIL:486bd1410100000000c6
1789380063.4409,-8.468,5062.0,668.5,13.73,-24.62,33.00,2.40,33.7,51.3,4.79,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c4f1838 TPS:486bd1411123f9 ADV:486bd1410ec295 MIL:486bd1410100000000c6
1789380063.7133,-8.196,5341.0,1023.9,27.45,50.37,35.50,2.40,33.7,59.2,4.79,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c537498 TPS:486bd14111461c ADV:486bd1410ec79a MIL:486bd1410100000000c6
1789380063.9989,-7.910,5042.0,-1047.1,3.53,-83.77,60.00,2.40,33.7,45.3,4.79,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c4ec8e7 TPS:486bd1411109df ADV:486bd1410ef8cb MIL:486bd1410100000000c6
1789380064.4656,-7.444,5067.0,53.6,3.53,0.00,60.00,2.40,33.7,45.3,4.79,14.10,0.000,91.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c4f2c4c TPS:486bd1411109df ADV:486bd1410ef8cb MIL:486bd1410100000000c6
