timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,trigger_event,raw_hex
1789371838.5197,0.000,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.0055,0.486,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.1592,0.639,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.2932,0.774,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.4409,0.921,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.5952,1.075,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.7238,1.204,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371839.8698,1.350,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371840.0245,1.505,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371840.5285,2.009,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371840.6691,2.149,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371840.8136,2.294,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371840.9551,2.435,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371841.0989,2.579,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371841.2484,2.729,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371841.3880,2.868,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371841.5481,3.028,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.0485,3.529,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.1879,3.668,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.3413,3.822,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.4907,3.971,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.6349,4.115,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.7792,4.259,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371842.9230,4.403,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371843.0670,4.547,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371843.5688,5.049,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371843.7053,5.186,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371843.8491,5.329,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371843.9942,5.474,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371844.1362,5.616,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371844.2980,5.778,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371844.4395,5.920,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371844.5842,6.065,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371845.0754,6.556,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371845.2278,6.708,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371845.3662,6.846,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371845.5128,6.993,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
1789371845.6616,7.142,0.0,0.0,3.14,0.00,12.50,0.000,22.0,22.0,1,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de
