timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,efi_light,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,trigger_event,raw_hex
1789376099.4447,0.000,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,4.57,12.50,0.000,35.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376099.7103,0.266,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376099.9987,0.554,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376100.2756,0.831,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376100.5593,1.115,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376100.8400,1.395,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376101.3624,1.918,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376101.6404,2.196,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,51.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376101.9183,2.474,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,51.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376102.1882,2.744,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,51.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376102.6137,3.169,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,51.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376102.9394,3.495,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,51.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
1789376103.3795,3.935,0.0,0.0,3.14,0.00,-30.00,2.73,0.0,101.3,1.80,12.50,0.000,91.0,51.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e4417 MIL:486bd1410100000000c6
